match_id,season,batting_team,bowling_team,home_team,away_team,over,runs
4,2008,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,1,8
4,2008,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,2,13
4,2008,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,3,19
4,2008,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,4,22
4,2008,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,5,41
4,2008,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,6,47
4,2008,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,7,54
4,2008,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,8,60
4,2008,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,9,72
4,2008,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,10,74
4,2008,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,11,81
4,2008,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,12,94
4,2008,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,13,97
4,2008,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,14,99
4,2008,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,15,105
4,2008,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,16,118
4,2008,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,17,129
4,2008,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,18,149
4,2008,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,19,158
4,2008,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,20,165
4,2008,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,1,10
4,2008,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,2,11
4,2008,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,3,22
4,2008,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,4,27
4,2008,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,5,37
4,2008,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,6,40
4,2008,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,7,46
4,2008,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,8,54
4,2008,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,9,69
4,2008,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,10,76
4,2008,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,11,80
4,2008,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,12,94
4,2008,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,13,104
4,2008,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,14,109
4,2008,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,15,118
4,2008,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,16,126
4,2008,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,17,136
4,2008,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,18,155
4,2008,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,19,163
4,2008,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,20,166
5,2008,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,Deccan Chargers,1,9
5,2008,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,Deccan Chargers,2,14
5,2008,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,Deccan Chargers,3,21
5,2008,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,Deccan Chargers,4,21
5,2008,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,Deccan Chargers,5,23
5,2008,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,Deccan Chargers,6,39
5,2008,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,Deccan Chargers,7,45
5,2008,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,Deccan Chargers,8,47
5,2008,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,Deccan Chargers,9,48
5,2008,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,Deccan Chargers,10,52
5,2008,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,Deccan Chargers,11,57
5,2008,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,Deccan Chargers,12,59
5,2008,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,Deccan Chargers,13,62
5,2008,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,Deccan Chargers,14,65
5,2008,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,Deccan Chargers,15,77
5,2008,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,Deccan Chargers,16,82
5,2008,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,Deccan Chargers,17,102
5,2008,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,Deccan Chargers,18,105
5,2008,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,Deccan Chargers,19,110
5,2008,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,1,6
5,2008,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,2,16
5,2008,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,3,18
